Delivery_Person_Age,Delivery_Person_Rating,Weather,Traffic_Level,Vehicle_Type,Area_Type,Order_Type,Festival,Multiple_Deliveries,Distance_km,Delivery_Time_min
30.0,4.3,Cloudy,High,Motorcycle,,Lunch,No,1.0,0.6,59.0
35.0,3.6,Sunny,Medium,Bicycle,,Snack,Yes,2.0,7.5,75.0
31.0,3.9,Cloudy,Medium,Scooter,Suburban,Lunch,No,2.0,3.7,70.0
19.0,4.8,Rainy,,Scooter,Suburban,Dinner,No,3.0,5.7,68.0
34.0,3.7,Sunny,Low,Motorcycle,Suburban,Dinner,No,1.0,9.0,58.0
26.0,4.9,Sunny,High,Scooter,Suburban,Dinner,No,1.0,1.5,37.0
39.0,4.0,Stormy,Jam,Scooter,Suburban,Lunch,No,3.0,2.3,104.0
16.0,,Rainy,Medium,Car,Urban,Breakfast,No,2.0,11.7,98.0
36.0,4.9,Sunny,Medium,Motorcycle,Suburban,Dinner,No,1.0,4.1,48.0
31.0,4.6,Sunny,Medium,Scooter,Urban,Dinner,Yes,1.0,3.1,42.0
27.0,4.3,Rainy,High,Motorcycle,Urban,Lunch,No,1.0,2.6,67.0
34.0,4.0,Rainy,High,Motorcycle,Urban,Dinner,Yes,1.0,3.4,97.0
30.0,3.9,Rainy,Low,Scooter,Urban,Dinner,,0.0,4.7,45.0
32.0,4.4,Rainy,Medium,Bike,Urban,Dinner,,0.0,2.3,75.0
33.0,4.5,Stormy,Medium,Scooter,Urban,Snack,,1.0,3.1,62.0
34.0,3.0,,High,Bicycle,Suburban,Dinner,Yes,0.0,4.4,80.0
41.0,4.3,Sunny,High,Bike,Urban,,No,0.0,11.0,83.0
30.0,4.3,Sunny,Low,Scooter,Urban,Dinner,Yes,0.0,1.7,43.0
47.0,4.4,Sunny,Medium,Car,Suburban,Snack,No,2.0,1.6,52.0
23.0,4.1,Rainy,Medium,Bicycle,Urban,Lunch,No,0.0,12.6,74.0
32.0,4.4,Stormy,Medium,Motorcycle,Urban,Dinner,No,1.0,5.1,75.0
